table_id,page,row_index,Frame,[Ie] Rated operational current (Ue ≤ 440 V),col_2,"Motor Power at 415V, 3Ph, 50Hz",col_4,Auxiliary Contacts,col_6,Reference,Unit MRP [`],col_9,col_10,col_11,col_1,col_5,Breaking Capacity at 50 Hz,Thermal Protection Adjustment Range (A),Magnetic Protection (A),No of Poles,AC Control Reference,col_3,DC Control Reference (4),Unit MRP [`]__1,col_8,DC low consumption Reference (1) (2) (3),Motor Power kW) at 380/415V,DC Control Reference(5),Nominal Reactive Power 440V,AC-1 Rated Operational Current [Ie],AC-3 Duty,col_7,Motor Power (Long Life) AC3,[Ie] Rated Operational Current AC1,Poles Composotion,AC control Reference,Unit MRP [`] M7 (220V),DC control Reference,AC3 Duty (Long Life),[Ie] Rated Operational Current AC-1,AC & DC Control Reference,Description,For use with,Motor Power (Long Life) AC-3 kW (@415V) A,Standard version Reference,Power Pole Composition,Pole Composition,Control modules for Standard contactors,Breaking Capacity at 50Hz,Magnetic Protection Rating (A),Thermal Protection Adjustment Range,Breaking Capacity at 415V 50Hz,Motor Power AC-3**,KW,Max. Continuous Current (A),kW,Max. continuous current(A),Nominal Power in kW,Nominal Current (Amps),Range,Voltage,Output,Dimension wxhxd (mm),Cable Gland type ISO standard,Number of Cut outs,Number of rows,[In] Rated Current (A),1 Pole Reference,2 Pole Reference,3 Pole Reference,Unit MRP [`]__2,4 Pole Reference,Unit MRP [`]__3,Module Width 18mm/ module,Module Width 18mm/ module__1,Earth-Leakage Sensitivity (mA),Module Width 18mm/module,Module Width 18mm/module__1,Type,[Ue] Rated Operational Voltage (V),Poles Description,IP Rating,Module Width,No. of Gangs
p210_t01,210,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B curve,,,,,,,,,,,,,,,,,
p210_t01,210,3,,,,,,,,,535,,,,,,,,,,,,,1615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,A9N1P06BGN (cid:2),A9N2P06BGN (cid:2),A9N3P06BGN (cid:2),2678,A9N4P06BGN,3421,,,,,,,,,,,
p210_t01,210,4,,,,,,,,,535,,,,,,,,,,,,,1615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,A9N1P10BGN (cid:2),A9N2P10BGN (cid:2),A9N3P10BGN (cid:2),2678,-,-,,,,,,,,,,,
p210_t01,210,5,,,,,,,,,535,,,,,,,,,,,,,1615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,A9N1P16BGN (cid:2),A9N2P16BGN (cid:2),A9N3P16BGN (cid:2),2678,A9N4P16BGN,3421,,,,,,,,,,,
p210_t01,210,6,,,,,,,,,535,,,,,,,,,,,,,1615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,A9N1P20BGN (cid:2),A9N2P20BGN (cid:2),A9N3P20BGN,2678,-,-,,,,,,,,,,,
p210_t01,210,7,,,,,,,,,535,,,,,,,,,,,,,1615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,A9N1P25BGN (cid:2),A9N2P25BGN,A9N3P25BGN (cid:2),2678,-,-,,,,,,,,,,,
p210_t01,210,8,,,,,,,,,535,,,,,,,,,,,,,1615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,A9N1P32BGN (cid:2),A9N2P32BGN,A9N3P32BGN (cid:2),2678,A9N4P32BGN,3421,,,,,,,,,,,
p210_t01,210,9,,,,,,,,,1161,,,,,,,,,,,,,3506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,A9N1P40BGN (cid:2),A9N2P40BGN,A9N3P40BGN,3655,A9N4P40BGN,5195,,,,,,,,,,,
p210_t01,210,10,,,,,,,,,1161,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,A9N1P50BGN,-,A9N3P50BGN,3655,-,-,,,,,,,,,,,
p210_t01,210,11,,,,,,,,,1177,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,A9N1P63BGN (cid:2),-,A9N3P63BGN (cid:2),4114,A9N4P63BGN,5243,,,,,,,,,,,
p210_t01,210,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C curve,,,,,,,,,,,,,,,,,
